Date, Open, High, Low, Close
12/07/20, 6634.3, 6714.7, 6634.3, 6675.0
12/04/20, 6615.5, 6650.1, 6613.9, 6634.1
12/03/20, 6606.7, 6628.2, 6601.4, 6615.3
12/02/20, 6601.2, 6616.0, 6561.5, 6590.2
12/01/20, 6517.2, 6613.5, 6511.4, 6588.5
11/30/20, 6605.5, 6641.1, 6517.8, 6517.8
11/27/20, 6627.7, 6629.2, 6587.9, 6601.1
11/26/20, 6680.5, 6686.4, 6636.4, 6636.4
11/25/20, 6667.4, 6713.3, 6665.9, 6683.3
11/24/20, 6576.1, 6661.4, 6575.0, 6644.1
11/23/20, 6550.6, 6594.0, 6549.6, 6561.6
11/20/20, 6544.0, 6562.1, 6535.6, 6539.2
11/19/20, 6531.5, 6547.2, 6498.0, 6547.2
11/18/20, 6496.0, 6541.2, 6494.7, 6531.1
11/17/20, 6496.3, 6530.4, 6490.2, 6498.2
11/16/20, 6423.5, 6487.3, 6422.9, 6484.3
11/13/20, 6418.4, 6418.4, 6377.6, 6405.2
11/12/20, 6454.7, 6470.9, 6399.6, 6418.2
11/11/20, 6357.1, 6451.0, 6355.2, 6449.7
11/10/20, 6322.1, 6438.2, 6322.1, 6340.5
11/09/20, 6196.8, 6303.1, 6196.7, 6298.8
11/06/20, 6152.1, 6202.3, 6150.8, 6190.2
11/05/20, 6064.3, 6143.7, 6063.3, 6139.6
11/04/20, 6068.5, 6096.4, 5986.0, 6062.1
11/03/20, 5967.1, 6090.8, 5964.2, 6066.4
11/02/20, 5934.8, 5960.6, 5904.1, 5951.3
10/30/20, 5969.2, 5986.6, 5927.6, 5927.6
10/29/20, 6032.2, 6034.2, 5940.0, 5960.3
10/28/20, 6042.8, 6075.6, 6020.2, 6057.7
10/27/20, 6140.9, 6142.1, 6033.8, 6051.0
10/26/20, 6164.7, 6206.5, 6154.8, 6155.6
10/23/20, 6177.1, 6184.2, 6148.4, 6167.0
10/22/20, 6179.3, 6179.7, 6100.6, 6173.8
10/21/20, 6187.3, 6206.3, 6181.2, 6191.8
10/20/20, 6226.5, 6241.1, 6181.1, 6184.6
10/19/20, 6187.0, 6248.3, 6184.6, 6229.4
10/16/20, 6208.1, 6216.2, 6165.0, 6176.8
10/15/20, 6185.2, 6233.4, 6184.3, 6210.3
10/14/20, 6191.7, 6198.4, 6174.7, 6179.2
10/13/20, 6143.3, 6214.7, 6143.3, 6195.7
10/12/20, 6104.4, 6132.0, 6093.1, 6132.0
10/09/20, 6106.7, 6127.4, 6087.6, 6102.2
10/08/20, 6050.0, 6123.4, 6049.1, 6102.0
10/07/20, 5953.1, 6043.8, 5944.7, 6036.4
10/06/20, 5949.0, 5963.9, 5912.7, 5962.1
10/05/20, 5815.6, 5942.8, 5815.5, 5941.6
10/02/20, 5864.1, 5865.7, 5779.6, 5791.5
10/01/20, 5832.2, 5916.5, 5832.0, 5872.9
09/30/20, 5952.0, 5952.0, 5815.9, 5815.9
09/29/20, 5962.8, 5995.4, 5935.1, 5952.1
09/28/20, 5960.9, 5977.3, 5941.0, 5952.3
09/25/20, 5887.9, 5973.7, 5887.9, 5964.9
09/24/20, 5902.4, 5903.3, 5824.8, 5875.9
09/23/20, 5799.0, 5933.3, 5798.6, 5923.9
09/22/20, 5809.1, 5809.5, 5763.2, 5784.1
09/21/20, 5861.0, 5868.5, 5808.2, 5822.6
09/18/20, 5894.7, 5921.4, 5864.5, 5864.5
09/17/20, 5956.5, 5956.5, 5883.2, 5883.2
09/16/20, 5905.1, 5958.5, 5905.1, 5956.1
09/15/20, 5909.5, 5919.2, 5883.9, 5894.8
09/14/20, 5873.6, 5903.2, 5871.4, 5899.5
09/11/20, 5897.9, 5897.9, 5836.2, 5859.4
09/10/20, 5898.8, 5955.7, 5874.8, 5908.5
09/09/20, 5977.5, 5980.3, 5849.4, 5878.6
09/08/20, 5952.7, 6025.5, 5952.7, 6007.8
09/07/20, 5924.3, 5958.9, 5869.9, 5944.8
09/04/20, 6075.4, 6078.9, 5918.8, 5925.5
09/03/20, 6067.3, 6130.8, 6067.3, 6112.6
09/02/20, 5973.9, 6075.7, 5971.7, 6063.2
09/01/20, 6044.8, 6046.1, 5908.9, 5953.4
08/31/20, 6077.1, 6093.9, 6060.5, 6060.5
08/28/20, 6118.5, 6119.2, 6056.0, 6073.8
08/27/20, 6119.1, 6159.8, 6117.1, 6126.2
08/26/20, 6160.4, 6160.4, 6079.8, 6116.4
08/25/20, 6139.7, 6199.2, 6130.1, 6161.4
08/24/20, 6110.0, 6134.8, 6094.7, 6129.6
08/21/20, 6125.8, 6166.4, 6104.8, 6111.2
08/20/20, 6164.0, 6165.0, 6096.7, 6120.0
08/19/20, 6125.4, 6196.6, 6122.5, 6167.6
08/18/20, 6076.5, 6139.3, 6075.6, 6123.4
08/17/20, 6117.5, 6118.0, 6059.3, 6076.4
08/14/20, 6096.0, 6139.1, 6095.0, 6126.2
08/13/20, 6138.9, 6157.3, 6075.8, 6091.0
08/12/20, 6133.0, 6154.5, 6101.1, 6132.0
08/11/20, 6112.7, 6186.1, 6112.0, 6138.7
08/10/20, 6008.3, 6125.3, 6008.1, 6110.2
08/07/20, 6032.6, 6033.7, 5993.4, 6004.8
08/06/20, 6015.8, 6049.3, 6009.3, 6042.2
08/05/20, 6031.7, 6033.9, 5964.9, 6001.3
08/04/20, 5947.1, 6059.5, 5946.8, 6037.6
08/03/20, 5928.3, 5947.1, 5860.7, 5926.1
07/31/20, 6037.5, 6038.2, 5893.2, 5927.8
07/30/20, 6019.4, 6067.0, 6019.4, 6051.1
07/29/20, 6019.2, 6051.1, 6000.7, 6006.4
07/28/20, 6051.9, 6113.8, 6019.8, 6020.5
07/27/20, 6018.5, 6044.5, 6013.1, 6044.2
07/24/20, 6084.1, 6085.7, 6010.7, 6024.0
07/23/20, 6071.0, 6102.7, 6052.1, 6094.5
07/22/20, 6137.4, 6137.6, 6055.5, 6075.1
07/21/20, 6008.9, 6160.6, 6008.9, 6156.3
07/20/20, 6038.5, 6038.8, 5991.9, 6001.6
07/17/20, 6016.9, 6042.4, 5999.4, 6033.6
07/16/20, 6059.2, 6078.0, 5989.9, 6010.9
07/15/20, 5957.6, 6052.9, 5957.6, 6052.9
